Author,Source,Quote,,,,,,,
Geshe Kelsang Gyatso,,By keeping a peaceful mind in difficult situations we are far more likely to find solutions and respond constructively.,,,,,,,
Geshe Kelsang Gyatso,,"With patience, we maintain an inner peace and tranquility that allows spiritual realizations to grow.",,,,,,,
